,DATE,TEC
528,2020-10-18 12:00:00,82
529,2020-10-18 12:15:00,89
530,2020-10-18 12:30:00,102
531,2020-10-18 12:45:00,110
532,2020-10-18 13:00:00,104
533,2020-10-18 13:15:00,86
534,2020-10-18 13:30:00,78
535,2020-10-18 13:45:00,94
536,2020-10-18 14:00:00,117
537,2020-10-18 14:15:00,113
538,2020-10-18 14:30:00,108
539,2020-10-18 14:45:00,102
540,2020-10-18 15:00:00,101
541,2020-10-18 15:15:00,113
542,2020-10-18 15:30:00,115
543,2020-10-18 15:45:00,112
544,2020-10-18 16:00:00,123
545,2020-10-18 16:15:00,110
546,2020-10-18 16:30:00,121
547,2020-10-18 16:45:00,108
548,2020-10-18 17:00:00,112
549,2020-10-18 17:15:00,129
550,2020-10-18 17:30:00,133
551,2020-10-18 17:45:00,146
552,2020-10-18 18:00:00,151
553,2020-10-18 18:15:00,148
554,2020-10-18 18:30:00,148
555,2020-10-18 18:45:00,147
556,2020-10-18 19:00:00,149
557,2020-10-18 19:15:00,138
558,2020-10-18 19:30:00,117
559,2020-10-18 19:45:00,116
560,2020-10-18 20:00:00,112
561,2020-10-18 20:15:00,120
562,2020-10-18 20:30:00,117
563,2020-10-18 20:45:00,131
564,2020-10-18 21:00:00,137
565,2020-10-18 21:15:00,150
566,2020-10-18 21:30:00,144
567,2020-10-18 21:45:00,143
568,2020-10-18 22:00:00,128
569,2020-10-18 22:15:00,131
570,2020-10-18 22:30:00,135
571,2020-10-18 22:45:00,124
572,2020-10-18 23:00:00,140
573,2020-10-18 23:15:00,138
574,2020-10-18 23:30:00,145
575,2020-10-18 23:45:00,154
576,2020-10-19 00:00:00,173
577,2020-10-19 00:15:00,167
578,2020-10-19 00:30:00,184
579,2020-10-19 00:45:00,172
580,2020-10-19 01:00:00,137
581,2020-10-19 01:15:00,112
582,2020-10-19 01:30:00,102
583,2020-10-19 01:45:00,90
584,2020-10-19 02:00:00,89
585,2020-10-19 02:15:00,91
586,2020-10-19 02:30:00,91
587,2020-10-19 02:45:00,75
588,2020-10-19 03:00:00,80
589,2020-10-19 03:15:00,96
590,2020-10-19 03:30:00,111
591,2020-10-19 03:45:00,80
592,2020-10-19 04:00:00,72
593,2020-10-19 04:15:00,97
594,2020-10-19 04:30:00,94
595,2020-10-19 04:45:00,99
596,2020-10-19 05:00:00,94
597,2020-10-19 05:15:00,74
598,2020-10-19 05:30:00,70
599,2020-10-19 05:45:00,83
600,2020-10-19 06:00:00,109
601,2020-10-19 06:15:00,109
602,2020-10-19 06:30:00,102
